LEI,Entity.LegalName,Entity.LegalAddress.City,Entity.LegalAddress.Country,Registration.RegistrationStatus
0292003353D9N2VD3J76,ZENITH ASSETS MANAGEMENT LIMITED,VICTORIA ISLAND,NG,LAPSED
029200337A6RH0G87A49,AFROMEDIA PLC,LAGOS,NG,LAPSED
0292003388F7P1D0I505,HEIRS ENERGIES LIMITED,VICTORIA ISLAND,NG,ISSUED
0292003393D9O8VD3J60,ZENITH CAPITAL LIMITED,VICTORIA ISLAND,NG,LAPSED
0292003408E4S8W8I421,GLAMSHIRE INVESTMENTS LIMITED,LAGOS,NG,LAPSED
0292003415E8N0UF4I92,ECOBANK DEVELOPMENT COMPANY LIMITED,VICTORIA ISLAND,NG,LAPSED
0292003420A1T0UA0B05,INDORAMA ELEME FERTILIZER & CHEMICALS LIMITED,PORT HARCOURT,NG,ISSUED
0292003438D9L2ZI3J57,INVESTORS AND TRUST COMPANY LIMITED,LAGOS,NG,ISSUED
029200343C4N7D2E6H83,CITIBANK NIGERIA LIMITED,VICTORIA ISLAND,NG,ISSUED
0292003440E3M3A4D637,UNITY BANK PLC,LAGOS,NG,ISSUED
0292003453H4K4UD7E71,AFRINVEST ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292003467F8Q2AH5I17,CHAPEL HILL DENHAM MANAGEMENT LIMITED,IKOYI,NG,LAPSED
0292003478D0L4U8I307,CHAPEL HILL DENHAM ADVISORY LIMITED,IKOYI,NG,LAPSED
029200348G1Q66B8GG83,ZENITH GENERAL INSURANCE COMPANY LIMITED,LAGOS,NG,LAPSED
029200349B6N0U9J1G94,RMB NIGERIA STOCKBROKERS LIMITED,VICTORIA ISLAND,NG,LAPSED
0292003518C9N5Y2I221,DELEON INVESTMENT AND ASSETS MANAGEMENT LIMITED,LEKKI,NG,LAPSED
0292003528E5M8V9I405,FINONE TECHNOLOGIES LIMITED,LAGOS,NG,LAPSED
0292003537G7M0WH6H47,AFRINVEST (WEST AFRICA) LIMITED,IKOYI,NG,LAPSED
0292003540H0S4VA7A50,FIRST ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
029200355B5N3V4F1F58,PSL CAPITAL LIMITED,LAGOS,NG,ISSUED
029200356G8T9W46I910,BONO ENERGY LIMITED,ABUJA,NG,ISSUED
0292003578A1M0Y8I087,AFFINITI CAPITAL MANAGEMENT LIMITED,LEKKI,NG,LAPSED
029200357C5T3AH2F910,REGENCY ALLIANCE INSURANCE PLC,LAGOS,NG,LAPSED
0292003588E2O0Z8I421,CREDENT INVESTMENT MANAGERS LTD,ABUJA,NG,LAPSED
0292003592F9Q8AC5J17,LEAD ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292003601E9LB4J5157,FIRST NOMINEES NIGERIA LIMITED,LAGOS,NG,ISSUED
029200361B4P6B2F1E58,CREDENT CAPITAL AND ADVISORY LIMITED,ABUJA,NG,LAPSED
0292003626J3K6UG9D04,MTN NIGERIA COMMUNICATIONS PLC,IKOYI,NG,ISSUED
029200363B3O4C4E1D09,DANE INVESTMENTS LIMITED,LAGOS,NG,ISSUED
029200364B3Q4E1D8E27,RAK UNITY PETROLEUM PLC,LAGOS,NG,LAPSED
029200364B8N6X9F1I18,RAND MERCHANT BANK NIGERIA LIMITED,VICTORIA ISLAND,NG,ISSUED
029200365G8K6D16I536,LOTUS CAPITAL LIMITED,IKOYI,NG,ISSUED
029200366B7N0U0E1H59,EROTON EXPLORATION AND PRODUCTION COMPANY LIMITED,LAGOS,NG,LAPSED
0292003678F3M2X5I579,RMB NIGERIA NOMINEES LIMITED,LAGOS,NG,ISSUED
0292003685C4O2YF2E03,ENERGIA LIMITED,LAGOS,NG,ISSUED
0292003695D0S7WF3A12,DUFIL PRIMA FOODS PLC,SURULERE,NG,LAPSED
029200370B2O2ZA1C754,FBN HOLDINGS PLC,LAGOS,NG,ISSUED
